Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Tata,Vista,2017,42000,14000,16000,19000,21000,32000,Presence
Mahindra,TUV300 Plus,2018,45000,15000,17000,20000,22000,34000,Absence
Maruti,Zen Estilo,2019,48000,16000,18000,21000,23000,36000,Presence
Tata,Sumo,2020,51000,17000,19000,22000,24000,38000,Absence
Mahindra,Verito,2021,54000,18000,20000,23000,25000,40000,Presence
Maruti,Versa,2022,57000,19000,21000,24000,26000,42000,Absence
Tata,Safari Storme,2008,15000,5000,7000,10000,12000,14000,Absence
Mahindra,Verito Vibe,2009,18000,6000,8000,11000,13000,16000,Presence
Mahindra,Verito,2015,36000,12000,14000,17000,19000,28000,Presence
Mahindra,Xylo,2018,45000,15000,17000,20000,22000,34000,Absence
Tata,Indigo Manza,2020,51000,17000,19000,22000,24000,38000,Absence
Mahindra,Quanto,2021,54000,18000,20000,23000,25000,40000,Presence
Maruti,Ritz,2022,57000,19000,21000,24000,26000,42000,Absence
Tata,Indigo eCS,2023,60000,20000,22000,25000,27000,44000,Presence
Tata,Indica,2010,21000,7000,9000,12000,14000,18000,Absence
Mahindra,Scorpio,2011,24000,8000,10000,13000,15000,20000,Presence
Maruti,BaleAbsence,2012,27000,9000,11000,14000,16000,22000,Absence
Tata,Nexon,2013,30000,10000,12000,15000,17000,24000,Presence
Mahindra,XUV500,2014,33000,11000,13000,16000,18000,26000,Absence
Maruti,Vitara Brezza,2015,36000,12000,14000,17000,19000,28000,Presence
Tata,Harrier,2016,39000,13000,15000,18000,20000,30000,Absence
Mahindra,Thar,2017,42000,14000,16000,19000,21000,32000,Presence
Maruti,Ertiga,2018,45000,15000,17000,20000,22000,34000,Absence
Tata,Altroz,2019,48000,16000,18000,21000,23000,36000,Presence
Mahindra,XUV300,2020,51000,17000,19000,22000,24000,38000,Absence
Maruti,S-Presso,2021,54000,18000,20000,23000,25000,40000,Presence
Tata,Tigor,2022,57000,19000,21000,24000,26000,42000,Absence
Mahindra,Alturas G4,2023,60000,20000,22000,25000,27000,44000,Presence
Ford,Mustang,2020,51000,17000,19000,22000,24000,38000,Presence
Renault,Duster,2021,54000,18000,20000,23000,25000,40000,Absence
Volkswagen,Tiguan,2022,57000,19000,21000,24000,26000,42000,Presence
Skoda,Yeti,2023,60000,20000,22000,25000,27000,44000,Absence
Nissan,GT-R,2008,15000,5000,7000,10000,12000,14000,Presence
Kia,Carnival,2009,18000,6000,8000,11000,13000,16000,Absence
MG,ZS EV,2010,21000,7000,9000,12000,14000,18000,Presence
Hyundai,Santa Fe,2011,24000,8000,10000,13000,15000,20000,Absence
Maruti,S-Cross,2012,27000,9000,11000,14000,16000,22000,Presence
Tata,Hexa,2013,30000,10000,12000,15000,17000,24000,Absence
Mahindra,Alturas G4,2014,33000,11000,13000,16000,18000,26000,Presence
Toyota,InAbsenceva Crysta,2015,36000,12000,14000,17000,19000,28000,Absence
Honda,CR-V,2016,39000,13000,15000,18000,20000,30000,Presence
Ford,Endeavour,2017,42000,14000,16000,19000,21000,32000,Absence
Renault,Koleos,2018,45000,15000,17000,20000,22000,34000,Presence
Volkswagen,Touareg,2019,48000,16000,18000,21000,23000,36000,Absence
Skoda,Kodiaq,2020,51000,17000,19000,22000,24000,38000,Presence
Nissan,X-Trail,2021,54000,18000,20000,23000,25000,40000,Absence
Kia,Sorento,2022,57000,19000,21000,24000,26000,42000,Presence
MG,Gloster,2023,60000,20000,22000,25000,27000,44000,Absence
Hyundai,Palisade,2008,15000,5000,7000,10000,12000,14000,Presence
Maruti,XL6,2009,18000,6000,8000,11000,13000,16000,Absence
Tata,Nexon EV,2010,21000,7000,9000,12000,14000,18000,Presence
Mahindra,XUV700,2011,24000,8000,10000,13000,15000,20000,Absence
Toyota,Highlander,2012,27000,9000,11000,14000,16000,22000,Presence
Honda,HR-V,2013,30000,10000,12000,15000,17000,24000,Absence
Ford,Ranger,2014,33000,11000,13000,16000,18000,26000,Presence
Renault,Megane,2015,36000,12000,14000,17000,19000,28000,Absence
Volkswagen,Arteon,2016,39000,13000,15000,18000,20000,30000,Presence
Skoda,Enyaq,2017,42000,14000,16000,19000,21000,32000,Absence
Nissan,Ariya,2018,45000,15000,17000,20000,22000,34000,Presence
Kia,Stinger,2019,48000,16000,18000,21000,23000,36000,Absence
MG,HS,2020,51000,17000,19000,22000,24000,38000,Presence
Hyundai,Ioniq,2021,54000,18000,20000,23000,25000,40000,Absence
Maruti,Ignis,2022,57000,19000,21000,24000,26000,42000,Presence
Tata,Evosport,2023,60000,20000,22000,25000,27000,44000,Absence
Tata,Hexa,2008,15000,5000,7000,10000,12000,14000,Absence
Mahindra,Marazzo,2009,18000,6000,8000,11000,13000,16000,Presence
Maruti,S-Cross,2010,21000,7000,9000,12000,14000,18000,Absence
Tata,Harrier,2011,24000,8000,10000,13000,15000,20000,Presence
Mahindra,XUV300,2012,27000,9000,11000,14000,16000,22000,Absence
Maruti,XL6,2013,30000,10000,12000,15000,17000,24000,Presence
Tata,Nexon EV,2014,33000,11000,13000,16000,18000,26000,Absence
Mahindra,XUV700,2015,36000,12000,14000,17000,19000,28000,Presence
Maruti,Ciaz,2016,39000,13000,15000,18000,20000,30000,Absence
Tata,Altroz,2017,42000,14000,16000,19000,21000,32000,Presence
Mahindra,Thar,2018,45000,15000,17000,20000,22000,34000,Absence
Maruti,S-Presso,2019,48000,16000,18000,21000,23000,36000,Presence
Tata,Tigor,2020,51000,17000,19000,22000,24000,38000,Absence
Mahindra,Alturas G4,2021,54000,18000,20000,23000,25000,40000,Presence
Maruti,Vitara Brezza,2022,57000,19000,21000,24000,26000,42000,Absence
Tata,Safari,2023,60000,20000,22000,25000,27000,44000,Presence
Maruti,Swift,2005,15000,5000,7000,10000,12000,14000,Absence
Tata,Indica,2006,18000,6000,8000,11000,13000,16000,Presence
Mahindra,Scorpio,2007,21000,7000,9000,12000,14000,18000,Absence
Maruti,SX4,2008,24000,8000,10000,13000,15000,20000,Presence
Tata,NaAbsence,2009,27000,9000,11000,14000,16000,22000,Absence
Mahindra,Xylo,2010,30000,10000,12000,15000,17000,24000,Presence
Maruti,Ertiga,2012,33000,11000,13000,16000,18000,26000,Absence
Tata,Indigo eCS,2013,36000,12000,14000,17000,19000,28000,Presence
Mahindra,Verito,2014,39000,13000,15000,18000,20000,30000,Absence
Maruti,Celerio,2015,42000,14000,16000,19000,21000,32000,Presence
Tata,Bolt,2016,45000,15000,17000,20000,22000,34000,Absence
Mahindra,KUV100,2017,48000,16000,18000,21000,23000,36000,Presence
Maruti,Ignis,2018,51000,17000,19000,22000,24000,38000,Absence
Tata,Nexon,2019,54000,18000,20000,23000,25000,40000,Presence
Mahindra,XUV300,2020,57000,19000,21000,24000,26000,42000,Absence
Maruti,S-Presso,2021,60000,20000,22000,25000,27000,44000,Presence
Tata,Harrier,2019,54000,18000,20000,23000,25000,40000,Presence
Mahindra,Alturas G4,2020,57000,19000,21000,24000,26000,42000,Absence
Maruti,Vitara Brezza,2021,60000,20000,22000,25000,27000,44000,Presence
Tata,Safari,2022,63000,21000,23000,26000,28000,46000,Absence
Mahindra,Thar,2023,66000,22000,24000,27000,29000,48000,Presence
Maruti,SX4,2011,24000,8000,10000,13000,15000,20000,Presence
Tata,NaAbsence,2012,27000,9000,11000,14000,16000,22000,Absence
Mahindra,Xylo,2013,30000,10000,12000,15000,17000,24000,Presence
Maruti,Ertiga,2014,33000,11000,13000,16000,18000,26000,Absence
Tata,Bolt,2015,36000,12000,14000,17000,19000,28000,Presence
Mahindra,TUV300,2016,39000,13000,15000,18000,20000,30000,Absence
Maruti,Ignis,2017,42000,14000,16000,19000,21000,32000,Presence
Tata,Nexon,2018,45000,15000,17000,20000,22000,34000,Absence
Tata,Altroz,2021,54000,18000,20000,23000,25000,40000,Presence
Mahindra,Thar,2022,57000,19000,21000,24000,26000,42000,Absence
Maruti,Vitara Brezza,2023,60000,20000,22000,25000,27000,44000,Presence
Honda,City,2008,22000,7000,9000,13000,15000,19000,Presence
Ford,EcoSport,2009,25000,8000,10000,14000,16000,20000,Absence
Renault,Duster,2010,28000,9000,11000,15000,17000,21000,Presence
Volkswagen,Polo,2011,31000,10000,12000,16000,18000,22000,Absence
Skoda,Octavia,2012,34000,11000,13000,17000,19000,23000,Presence
Chevrolet,Beat,2013,37000,12000,14000,18000,20000,24000,Presence
Nissan,Micra,2014,40000,13000,15000,19000,21000,25000,Absence
Fiat,Punto,2015,43000,14000,16000,20000,22000,26000,Presence
Jeep,Compass,2016,46000,15000,17000,21000,23000,27000,Absence
MG,Hector,2017,49000,16000,18000,22000,24000,28000,Presence
Kia,Seltos,2018,52000,17000,19000,23000,25000,29000,Absence
Audi,A4,2019,55000,18000,20000,24000,26000,30000,Presence
BMW,3 Series,2020,58000,19000,21000,25000,27000,31000,Absence
Mercedes,C-Class,2021,61000,20000,22000,26000,28000,32000,Presence
Lamborghini,Huracan,2022,64000,21000,23000,27000,29000,33000,Absence
Maruti,BaleAbsence,2023,67000,22000,24000,28000,30000,34000,Presence
Hyundai,Verna,2023,70000,23000,25000,29000,31000,35000,Absence
Tata,Altroz,2023,73000,24000,26000,30000,32000,36000,Presence
Mahindra,Thar,2023,76000,25000,27000,31000,33000,37000,Absence
Toyota,Yaris,2023,79000,26000,28000,32000,34000,38000,Presence
Honda,Amaze,2023,82000,27000,29000,33000,35000,39000,Absence
