Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Maruti,Carnival,2019,9673,11565,54708,53355,36745,32627,Presence
Maruti,EtiosLiva,2020,7804,7565,38074,52408,26799,28411,Presence
Mahindra,EcoSport,2022,15136,10861,133651,23778,75909,105800,Presence
Tesla,Triber,2016,16580,7419,22471,40998,26682,39434,Absence
Tata,Carnival,2016,22382,9245,30217,23204,24585,63595,Presence
Maruti,i20Active,2017,20430,10056,29727,86987,20109,23235,Presence
Mahindra,Golf,2021,31850,11577,19888,55179,34035,34253,Presence
Jaguar,NaAbsence,2020,37283,12244,49509,139368,27802,25865,Absence
Maruti,Carnival,2014,12094,9932,33682,33838,18150,39481,Absence
MarutiSuzuki,Creta,2017,179387,82598,131139,143293,150768,121511,Presence
Ford,Carnival,2023,19457,10980,25510,29131,172164,72473,Presence
Mahindra,Carnival,2015,3000,11276,26079,86960,11640,28081,Presence
Volkswagen,S60,2023,240169,7479,23439,25454,14291,211953,Absence
Tata,Amaze,2023,226894,151000,153000,112500,177724,77999,Absence
Hyundai,NaAbsence,2023,10528,151000,16448,153201,66608,101259,Absence
Tata,EtiosLiva,2018,3000,10852,23779,49197,15321,10000,Presence
Nissan,Triber,2015,34217,9616,63823,62709,30694,35667,Absence
Suzuki,NaAbsence,2023,205196,101875,153000,156431,250000,89910,Presence
Maruti,Creta,2018,24485,10560,50860,170456,27429,96512,Presence
Mahindra,EtiosLiva,2019,11980,13536,42237,53702,32351,17774,Absence
Maruti,Polo,2020,20462,10539,20819,16553,21107,24220,Presence
Ford,EcoSport,2021,27333,9037,27780,48394,23480,18363,Presence
MarutiSuzuki,Venue,2023,87100,151000,145680,173226,163440,68635,Presence
Honda,Creta,2014,10403,149753,28760,15507,19304,77177,Absence
Renault,KUV100,2017,25411,7831,25210,146492,23103,70285,Absence
Maruti,Carnival,2019,76984,9403,57162,113120,65829,78203,Absence
Hyundai,Huracan,2021,20204,10786,55567,28647,12659,27140,Absence
Maruti,EtiosLiva,2022,32209,12633,27602,46729,35240,38814,Presence
Maruti,Amaze,2022,39490,75459,137000,130080,136879,91477,Absence
Mahindra,Sonnet,2023,81353,151000,152724,98480,117804,44300,Presence
Toyota,Gloster,2020,34661,10243,14625,31515,29114,29068,Presence
Hyundai,Carnival,2013,30006,8229,24442,49283,23956,102628,Absence
Toyota,Amaze,2011,181708,11906,71106,58924,100046,107156,Presence
Toyota,WR-V,2020,24462,13335,26587,47929,27859,38574,Presence
Maruti,NaAbsence,2018,27571,12039,43917,43712,34276,42119,Absence
Suzuki,Carnival,2017,12567,24739,44306,29291,5625,22310,Presence
Honda,Amaze,2023,29268,138227,124445,119825,144588,93921,Presence
Maruti,Swift,2021,13071,12060,21026,22511,27973,29659,Presence
Hyundai,Hexa,2021,41336,9298,25307,23821,28853,11983,Presence
MarutiSuzuki,Amaze,2019,126994,11558,74951,134650,28874,91315,Absence
MarutiSuzuki,NaAbsence,2013,41904,9576,62657,147036,113928,65739,Absence
Hyundai,WR-V,2019,24231,10734,37068,95214,20854,25925,Presence
Honda,Amaze,2015,149857,151000,139933,167847,148381,92695,Presence
Ford,Amaze,2014,128611,151000,153000,160701,183152,113997,Presence
Maruti,Vento,2019,21897,10239,85144,23612,17246,104493,Absence
Hyundai,Amaze,2022,171241,151000,153000,189892,171029,127514,Absence
Maruti,i20Active,2020,8811,11391,21878,24700,26985,29658,Absence
Maruti,Creta,2023,84866,151000,147005,166579,168711,108487,Presence
,Amaze,2023,241383,151000,153000,108404,133477,86282,Absence
Nissan,EcoSport,2019,28097,22478,27386,48418,24970,69033,Absence
Mahindra,Carnival,2023,30137,13024,86930,153473,144911,73790,Presence
,NaAbsence,2023,135493,108388,93089,119710,168891,91202,Absence
Mahindra,EtiosLiva,2019,17678,12773,32400,17194,18291,27592,Presence
MarutiSuzuki,Carnival,2013,56700,147826,41870,100206,161500,99975,Absence
Honda,Carnival,2020,3943,11644,23023,60214,24455,26451,Presence
Renault,Aspire,2021,43996,9152,22674,117011,66724,36506,Presence
MarutiSuzuki,NaAbsence,2018,213826,151000,55995,73354,196037,83060,Absence
Renault,i20Active,2015,3000,10439,22889,21670,19467,82663,Presence
Suzuki,NaAbsence,2014,98973,151000,127909,154708,135305,89319,Presence
,Carnival,2023,18152,89416,31903,100062,19877,83255,Presence
MarutiSuzuki,Amaze,2017,49549,12004,113939,142712,143101,90147,Presence
Skoda,i20Active,2020,3000,12112,21291,51751,29251,19070,Absence
Tata,Amaze,2020,196217,13583,122795,165454,102566,87240,Absence
Tata,Endeavour,2019,17318,12866,27969,15837,20714,79291,Absence
Honda,Polo,2020,14721,29926,30481,28021,28943,23580,Presence
Maruti,Golf,2021,31549,28788,24794,54528,28685,14297,Absence
Maruti,EtiosLiva,2021,3000,13668,39726,53640,32059,12231,Presence
Hyundai,Carnival,2014,232452,151000,124254,151592,185099,86264,Presence
Jeep,NaAbsence,2020,22856,9093,34224,68215,24034,20614,Absence
MarutiSuzuki,Compass,2020,21906,9865,18909,38707,13332,62153,Presence
Ford,Seltos,2018,4744,11063,22285,55650,21047,21368,Presence
Hyundai,Carnival,2015,7572,10798,23517,74345,32213,22032,Presence
Tata,Golf,2015,30882,10168,25847,27509,18181,99089,Presence
Tata,Venue,2022,177629,94496,45842,120029,35858,51594,Absence
Volkswagen,EtiosLiva,2021,3000,13359,23714,31683,28771,13931,Presence
Honda,Carnival,2011,27639,12272,51930,84232,169689,74664,Absence
Nissan,Carnival,2021,11074,10498,27933,26018,25961,25790,Presence
Volkswagen,i20Active,2019,27378,12445,12402,32313,26814,21241,Absence
Maruti,WagonR,2019,15761,11030,45454,30718,15904,30027,Absence
MarutiSuzuki,Rapid,2018,18822,11787,24363,88007,15797,82162,Presence
Mahindra,Hector,2016,16649,95140,57291,101263,151541,105145,Presence
Hyundai,i20Active,2022,50342,10871,12649,25406,23062,36280,Presence
Hyundai,Carnival,2015,33133,12159,24644,17800,131083,63094,Presence
Tata,EtiosLiva,2018,3000,13775,25400,29613,26611,20057,Presence
Maruti,Amaze,2022,279536,151000,137162,171291,180270,85229,Absence
Renault,NaAbsence,2023,59541,151000,135680,175119,250000,49084,Presence
Toyota,Triber,2013,49729,10703,31857,28017,23071,73221,Presence
Toyota,488GTB,2020,45371,29357,87908,26660,32238,25776,Presence
Volkswagen,Creta,2023,168094,151000,58104,133193,145077,88571,Presence
Honda,Amaze,2023,23696,84269,142285,110904,142875,77447,Presence
Honda,EtiosLiva,2022,13591,12246,34394,29739,26229,37351,Presence
Maruti,Triber,2022,18434,10560,28714,49106,24596,21415,Presence
Maruti,Alto,2020,13370,10208,25225,18652,23653,26411,Absence
Honda,Polo,2019,10432,12554,24009,108234,16892,46404,Presence
MarutiSuzuki,Creta,2012,4610,151000,76870,140219,72133,124097,Presence
Maruti,Carnival,2020,15978,9664,62734,160976,33955,51287,Absence
Honda,Venue,2012,73356,151000,153000,112178,138657,111742,Presence
Hyundai,Hector,2019,144151,12660,31240,32346,20988,206625,Presence
Tata,Amaze,2019,21254,151000,17437,176382,117659,42875,Presence
Volkswagen,i20Active,2021,47451,12195,28718,21547,34021,13565,Presence
Maruti,Harrier,2020,3000,10750,65948,44050,22854,124593,Presence
Toyota,Amaze,2015,113885,151000,153000,116479,149445,90543,Presence
Suzuki,Amaze,2023,37277,83498,143090,20165,78554,96359,Absence
Hyundai,A4,2010,18380,10602,16393,24095,17566,20308,Absence
Maruti,A4,2023,49089,12635,18382,53790,19734,66423,Absence
Honda,Carnival,2020,21197,8610,25337,45722,21927,36918,Presence
Renault,Amaze,2020,215188,88113,25710,60011,165070,62985,Presence
BMW,Venue,2023,101826,94933,40654,115381,152040,99812,Presence
MarutiSuzuki,Amaze,2014,37190,11643,39929,102906,17347,25172,Absence
Mahindra,EtiosLiva,2019,3000,26220,23880,23924,26395,16133,Absence
Toyota,Carnival,2019,29508,12336,63260,137009,25952,134119,Presence
Toyota,Amaze,2011,268226,11772,123882,130106,71725,92016,Absence
Maruti,EtiosLiva,2020,3000,13308,42993,51477,26735,10000,Presence
Tata,Carnival,2019,3000,8142,20699,26074,11359,25914,Presence
Tata,EtiosLiva,2011,17089,7854,25620,26224,15168,28435,Presence
Maruti,i20,2020,17215,11981,68557,30582,26715,14250,Presence
Tata,Harrier,2018,12463,10809,25382,150251,22122,79503,Presence
Hyundai,EtiosLiva,2021,17424,13236,38818,40130,32318,38534,Presence
Mahindra,i20Active,2013,30113,13115,25829,116203,18883,21531,Presence
Maruti,NaAbsence,2019,25707,10246,23691,56223,63101,28667,Absence
Tata,Harrier,2020,16992,24949,36006,44583,29251,29476,Presence
Mahindra,XUV300,2023,25088,6489,23264,159768,24960,27767,Presence
Hyundai,i20Active,2019,47700,25179,32213,38728,30434,21142,Absence
Honda,Amaze,2023,142076,151000,153000,119196,145523,94123,Presence
Maruti,Triber,2020,45027,6684,20442,14722,18843,15963,Absence
Skoda,Carnival,2017,31912,6467,38835,40689,27351,22191,Presence
Tata,EtiosLiva,2020,8662,13253,41765,29966,23069,26751,Presence
MarutiSuzuki,NaAbsence,2020,12636,12485,25241,30460,25613,26639,Presence
Tesla,EtiosLiva,2022,18680,12503,32153,101682,26487,19089,Presence
Maruti,Hector,2015,170125,89450,59497,25014,127225,71975,Absence
Ford,Creta,2020,28889,20618,137745,89653,150191,232647,Presence
MarutiSuzuki,Harrier,2021,3000,9611,23647,45726,25765,29579,Absence
Maruti,i20Active,2017,10243,13358,31396,27863,26770,35062,Presence
Hyundai,Carnival,2019,14957,11272,75120,69128,142836,29385,Absence
Ferrari,Carnival,2012,297677,93628,72687,160433,185210,88641,Absence
Ford,Amaze,2013,166605,143361,137846,161987,176060,109282,Presence
Mercedes,i20Active,2023,34500,12025,30751,52590,27514,33794,Absence
Mahindra,Carnival,2019,18608,12872,19492,24530,30779,37630,Presence
BMW,Hector,2023,196560,151000,146261,158324,158003,89669,Presence
Ford,Creta,2012,27823,10881,18972,35638,17245,26097,Presence
Mahindra,i20Active,2019,21291,22038,26855,44233,23733,33142,Absence
Maruti,KUV100NXT,2020,19082,10182,26837,39379,19980,26074,Presence
Tata,EtiosLiva,2018,19501,10458,31115,19644,34278,24394,Absence
Maruti,Duster,2023,64638,141227,70288,159575,107946,101977,Presence
Toyota,Creta,2021,12076,95136,63009,170015,47231,115706,Presence
Mahindra,EtiosLiva,2020,14784,12458,24649,51374,31380,34434,Presence
Tata,EtiosLiva,2019,3000,11292,41495,42013,27467,19944,Presence
Maruti,i20Active,2018,3000,12732,32721,25533,23767,32351,Presence
Maruti,i20Active,2018,3000,12903,22179,28727,20348,33943,Absence
Maruti,Creta,2020,12733,7463,126603,103224,46810,237036,Presence
Renault,Amaze,2023,18583,9627,86060,42994,20037,115932,Presence
Renault,Venue,2021,74319,67555,133552,166808,49836,100668,Presence
Mahindra,Carnival,2023,29390,28909,22581,24150,19828,27254,Absence
Honda,i20Active,2018,23038,10574,25562,54269,24501,36077,Absence
Mahindra,NaAbsence,2020,52068,12207,19562,107252,24473,36168,Presence
Volkswagen,NaAbsence,2020,25986,9838,60658,50676,186689,108662,Absence
Volkswagen,Amaze,2017,53009,151000,135166,51607,128791,110020,Presence
Maruti,Amaze,2022,172527,151000,128245,163614,188362,86908,Presence
Tata,EtiosLiva,2019,3000,11921,41723,54527,30727,18416,Presence
Tata,Carnival,2010,32384,27867,64081,94015,27101,21968,Presence
Toyota,Amaze,2021,29808,10599,18863,51883,16358,40430,Presence
Honda,Amaze,2011,220042,151000,144833,126171,160854,94074,Presence
Maruti,Polo,2021,18997,14312,26577,23131,23134,39354,Presence
Maruti,i20Active,2018,21045,12706,14025,24485,15835,14671,Absence
Lexus,Amaze,2023,114254,151000,144344,174403,173492,106953,Presence
MarutiSuzuki,i20Active,2023,15934,7346,34968,54715,29936,20592,Presence
Toyota,Creta,2014,73848,11411,34568,97777,111378,23583,Presence
Kia,Carnival,2013,13385,10974,26778,22045,19582,28884,Presence
Jaguar,i20Active,2020,11971,11271,29807,81786,25333,14836,Presence
Tata,A4,2018,3000,10533,19386,55889,21570,27322,Presence
Hyundai,WR-V,2023,94788,151000,78360,145897,55579,75370,Absence
BMW,i20Active,2021,20752,8350,54104,32109,35304,20338,Presence
Maruti,A4,2023,29694,13521,29869,88617,23550,77810,Absence
Hyundai,Triber,2020,44050,10330,28731,35806,15361,22714,Absence
MarutiSuzuki,Carnival,2016,3000,7552,58624,39612,152809,85725,Presence
Maruti,Polo,2021,48878,9713,23412,44854,25488,14673,Absence
Ford,Harrier,2021,6709,13504,27777,25975,22214,28250,Presence
Toyota,Creta,2021,3000,91776,26453,133325,148500,95490,Presence
Mahindra,i20Active,2018,3000,13015,31213,58982,21802,16007,Absence
Suzuki,Carnival,2017,14768,7242,132677,44972,21191,29361,Presence
Renault,Hexa,2021,12372,12061,18441,27121,31702,19035,Presence
Tata,i20Active,2023,16023,7464,25690,20718,25658,28822,Absence
Mahindra,i20Active,2020,8982,13699,11313,29900,23781,33720,Presence
Hyundai,XUV300,2015,141888,10074,131622,125600,85244,113235,Absence
Toyota,Creta,2013,109580,10580,21538,174450,70429,105942,Presence
Ford,Creta,2022,17432,20865,21868,57509,103963,91353,Presence
Maruti,Carnival,2020,72274,9982,28255,128842,17957,83046,Absence
Hyundai,Venue,2010,38650,151000,119577,25048,169420,84148,Absence
Maruti,Carnival,2015,6969,9986,29496,44900,26794,33993,Absence
Hyundai,Carnival,2018,47484,11639,128729,38451,35587,104331,Absence
MarutiSuzuki,Carnival,2018,15413,9344,32719,18081,23651,30140,Presence
Maruti,Carnival,2014,74547,108763,122039,91284,169016,116355,Presence
Renault,InAbsenceva,2016,263544,139759,42703,87248,124231,63267,Absence
Maruti,KUV100,2016,36500,11722,11559,53222,30444,26598,Absence
Ford,EtiosLiva,2019,9543,12425,26445,25302,25582,16876,Presence
Honda,Venue,2022,120928,149057,26928,26838,135985,95068,Presence
Maruti,EtiosLiva,2020,19490,11281,30859,28819,18714,19677,Absence
Tata,NaAbsence,2021,10587,9305,22720,45306,34894,23245,Absence
Mahindra,i20Active,2020,3000,12881,32750,53836,34452,26497,Absence
Honda,Amaze,2013,3000,104374,44563,102840,108761,133513,Presence
Maruti,Carnival,2019,220127,73464,30875,113331,54596,106457,Absence
Maruti,Polo,2020,25619,9988,36959,46377,59327,43934,Presence
MarutiSuzuki,Harrier,2021,18350,8054,33515,41963,28169,27033,Presence
Honda,EtiosLiva,2021,26494,12414,28168,54506,24023,14320,Presence
Porsche,Carnival,2019,12771,10442,24304,86490,15892,20287,Presence
Maruti,Carnival,2020,37845,10787,23988,54902,25008,23560,Presence
Maruti,Creta,2020,25846,132424,29112,85482,102796,49285,Presence
Mahindra,Carnival,2016,3000,11376,24525,44400,21963,22495,Presence
Maruti,Polo,2021,25912,13609,26360,19696,27647,31011,Presence
Maruti,EtiosLiva,2021,4234,10078,32571,24253,15537,10920,Absence
Mahindra,EcoSport,2016,217249,151000,70920,77568,52227,88542,Absence
Mahindra,CorollaAltis,2018,32892,13949,32238,54221,29238,44303,Absence
Honda,Polo,2020,26838,9322,15351,40249,26088,32223,Presence
Honda,Carnival,2022,9499,11258,33740,57454,25247,25560,Presence
Tata,Cayenne,2023,10568,90082,31337,154373,146811,94142,Absence
Tata,Carnival,2021,3000,5958,40151,148522,23669,70786,Presence
Hyundai,Polo,2021,14255,10388,24143,100998,18560,17362,Presence
Hyundai,Seltos,2023,18297,8553,12855,85596,23701,24985,Absence
Mahindra,EtiosLiva,2021,13192,13018,21735,42174,33745,34804,Absence
Maruti,i20Active,2018,57333,12773,18187,25916,27405,20663,Absence
Maruti,Polo,2020,16242,10800,27632,72282,27607,41865,Absence
Renault,Carnival,2020,6075,12607,23401,136581,30538,17445,Presence
Honda,Amaze,2021,173784,77653,87486,161495,48665,121372,Presence
Maruti,Harrier,2013,11663,10704,22214,71126,58251,67032,Absence
Suzuki,Amaze,2012,120889,151000,153000,188698,204657,96183,Presence
Nissan,KUV100NXT,2023,22998,13440,33182,35743,20082,33062,Presence
Tata,i20,2017,3000,8892,23039,25298,31688,15234,Presence
Maruti,EtiosLiva,2022,23103,10365,34640,38638,34740,10000,Presence
Maruti,EtiosLiva,2020,16676,13742,36418,51505,32410,35614,Presence
Mahindra,EtiosLiva,2020,28472,10721,26035,28275,15149,20299,Absence
Maruti,EtiosLiva,2020,12999,25024,21178,24894,28224,36187,Absence
Ford,Polo,2020,30899,9686,16173,50449,20880,32713,Presence
Toyota,Amaze,2023,8240,73036,113357,115212,114646,76526,Presence
Mahindra,NaAbsence,2023,327546,151000,133119,117542,186883,115401,Absence
Maruti,Amaze,2023,62721,112008,126738,110323,160330,206337,Absence
Mahindra,Hector,2020,28772,11987,11895,52714,24410,12034,Presence
Tata,Amaze,2013,43711,151000,146195,147585,62771,70355,Absence
BMW,Amaze,2013,187352,86045,143222,170272,132897,62636,Presence
Tata,WR-V,2018,3000,7400,31170,24885,8969,26803,Absence
Mercedes-Benz,Polo,2022,8515,13416,25890,49015,29501,27025,Presence
Tata,Carnival,2010,13047,8856,30314,158947,21409,24962,Presence
Renault,Amaze,2021,32784,8625,85524,78763,60825,37379,Presence
Hyundai,i20Active,2021,30821,7321,29312,26837,22163,26009,Presence
Maruti,EtiosLiva,2019,8222,13263,26119,47544,32580,29142,Absence
Renault,Carnival,2021,28454,7613,19925,19286,24870,24491,Presence
Maruti,EtiosLiva,2020,18207,14764,34405,22949,32226,19310,Absence
Mahindra,Carnival,2016,21726,11262,23322,87889,43276,137030,Absence
Porsche,City,2011,32750,8528,25480,25921,33538,30391,Presence
Mahindra,NaAbsence,2023,242772,151000,61575,168245,173176,113568,Presence
Porsche,WR-V,2015,18987,10427,28255,20906,15933,97828,Presence
Ford,Polo,2023,226763,12076,90866,155477,64110,116682,Presence
Toyota,Amaze,2018,315722,98763,140974,153337,143516,218146,Presence
Ferrari,Creta,2014,17429,8908,38929,20747,20135,32385,Presence
Hyundai,Carnival,2021,14810,10709,34443,46641,16651,41686,Presence
Mahindra,Carnival,2023,25513,12752,27620,83053,20473,245492,Presence
MarutiSuzuki,Amaze,2023,149327,151000,152132,92679,124865,105397,Absence
Hyundai,Hexa,2021,6151,10408,25457,19592,27282,43874,Absence
Maruti,Harrier,2020,34685,6577,33238,49351,25393,24087,Presence
Toyota,Aspire,2015,19306,8207,22445,42600,17949,18967,Presence
Tata,NaAbsence,2023,70126,151000,59070,28838,68344,62253,Absence
Suzuki,Polo,2016,18900,11158,29067,45587,22659,22898,Absence
Mahindra,A4,2021,3000,12462,18579,31177,40177,18060,Presence
MG,Creta,2016,238403,140017,51801,114880,175048,85363,Presence
Hyundai,i20Active,2020,6138,11228,28581,50355,20700,35862,Presence
Maruti,A4,2012,20311,97321,31039,167670,22193,20047,Presence
MarutiSuzuki,Amaze,2023,242540,142278,153000,162691,149987,114676,Presence
Maruti,Seltos,2021,30959,10795,26903,40513,31944,47496,Presence
Mahindra,Amaze,2023,158884,97747,151585,170881,165649,102594,Presence
Hyundai,i20Active,2018,12227,11396,26951,23397,30300,23538,Absence
MarutiSuzuki,Venue,2016,33152,151000,63851,23168,66333,96556,Presence
Maruti,i20Active,2017,9638,10413,22895,53457,32982,23550,Presence
Volvo,Creta,2015,5173,21045,47735,127717,112936,85509,Absence
Tata,Creta,2019,3000,11601,127843,102778,93441,72071,Presence
Maruti,Carnival,2012,14730,11523,12164,24061,21609,13423,Presence
Hyundai,Golf,2021,44403,8537,27698,46522,19878,22015,Absence
Honda,Carnival,2023,41093,10039,116777,100228,32140,95786,Presence
Mahindra,Carnival,2023,24517,12606,136711,149952,129518,68811,Presence
Maruti,Compass,2019,9035,8432,44029,43147,27992,26528,Presence
Ford,Amaze,2019,3000,88642,122874,96753,14970,111959,Presence
Ford,EcoSport,2020,136496,11923,126319,138300,162657,248213,Presence
Hyundai,NaAbsence,2015,38902,151000,71153,116918,142462,103311,Presence
MarutiSuzuki,Amaze,2023,121945,95062,153000,151064,128585,28980,Presence
Honda,EtiosLiva,2020,25553,13089,29968,53014,30526,41247,Presence
Mahindra,Rapid,2012,20952,13471,46789,32456,24106,136913,Presence
Renault,Creta,2023,186500,84734,23190,103845,145307,85053,Presence
MG,Amaze,2017,121760,151000,153000,178305,189690,62074,Presence
Toyota,A4,2020,7131,8720,23534,42862,25734,16299,Presence
Hyundai,i20Active,2020,39707,25941,18388,42554,30380,47013,Absence
Hyundai,Hector,2020,8359,10086,19146,48797,30252,19133,Absence
Tata,EtiosLiva,2019,18102,11346,30581,47832,32226,12285,Presence
Hyundai,Creta,2013,217845,81288,127199,147379,151272,122706,Absence
Tata,NaAbsence,2012,83789,12646,37188,104805,116542,94369,Presence
Tesla,NaAbsence,2021,48333,70915,153000,78533,26445,115378,Presence
Mahindra,i20Active,2019,3000,12488,21975,60883,31739,23160,Absence
Maruti,Carnival,2021,33232,23357,12930,19407,18713,25716,Absence
Tata,NaAbsence,2022,11567,151000,31699,89701,28620,122358,Presence
Hyundai,i20Active,2020,46926,10182,32038,25728,22936,23965,Presence
Ford,EtiosLiva,2020,6558,11665,28953,33419,25886,21426,Presence
MarutiSuzuki,Endeavour,2019,6751,11498,26926,21875,141230,78451,Absence
Hyundai,Creta,2021,10359,12171,18253,23035,21944,28843,Absence
Mahindra,Triber,2020,20214,11172,24250,51125,29093,30311,Presence
Maruti,XUV300,2011,65238,151000,80435,147948,126113,66412,Absence
Hyundai,Creta,2011,35745,12302,21868,78648,4081,222636,Presence
Renault,Amaze,2012,341942,12425,52923,161628,176965,99709,Presence
,Carnival,2018,22723,10890,34380,48644,26639,97233,Presence
Maruti,i20Active,2011,8264,12608,21950,45779,24068,15378,Presence
Lamborghini,Carnival,2017,4983,11982,34785,46569,25787,21600,Presence
Tata,EcoSport,2017,8339,10139,28284,138164,26870,31652,Presence
MarutiSuzuki,EcoSport,2022,29276,151000,146590,154782,146577,111485,Presence
Maruti,EcoSport,2016,4726,11389,23274,22479,18621,23708,Absence
Maruti,Creta,2017,20459,7784,112873,47100,114742,90016,Presence
Renault,Amaze,2023,28018,76173,26368,153404,21924,94701,Presence
Volkswagen,Carnival,2019,10091,10077,33322,105503,24695,40688,Presence
Hyundai,NaAbsence,2023,195223,76780,152505,121706,83403,88673,Absence
Honda,CorollaAltis,2019,6542,11328,29572,27153,19708,52088,Presence
MarutiSuzuki,Carnival,2021,18354,9246,31911,47539,29088,32251,Presence
Hyundai,NaAbsence,2022,14609,9895,26650,39011,25008,25512,Absence
Toyota,Creta,2023,34382,11399,30202,100988,28279,38180,Absence
MarutiSuzuki,A4,2016,15954,9082,32117,15257,169487,35988,Absence
MarutiSuzuki,Amaze,2020,39210,112620,20405,78053,18883,107555,Presence
Toyota,A4,2020,23671,9214,50153,53837,18461,27342,Presence
Maruti,Creta,2018,38853,8226,58026,44884,55723,74432,Absence
Honda,Polo,2023,24041,12501,98588,51240,144938,30475,Presence
Tata,i20Active,2019,36237,12226,21900,51376,28993,21830,Absence
Toyota,Carnival,2023,110159,81617,134929,72828,116152,109744,Presence
Maruti,Polo,2020,9234,10858,28533,84632,42082,33908,Presence
Hyundai,Carnival,2012,21403,11139,19391,27168,13665,27891,Absence
Maruti,Swift,2016,35474,20881,30861,69283,18982,102174,Presence
Tata,Amaze,2020,17166,12388,25450,19349,26460,23527,Presence
Hyundai,Aspire,2012,5304,11579,27895,23499,14652,30429,Absence
Hyundai,Carnival,2019,9521,12490,32167,94186,9927,27201,Presence
Ford,Hector,2014,89907,95476,145074,145662,162865,45527,Presence
Mahindra,Creta,2023,208556,98492,66968,176552,156728,80537,Presence
Maruti,488GTB,2020,7375,11351,27376,24049,26531,26053,Absence
BMW,Creta,2010,250381,151000,153000,141746,137514,78832,Presence
Ford,Creta,2017,215083,127563,153000,137582,26896,87203,Presence
Tata,Ciaz,2018,7000,8158,29934,41839,23749,20548,Presence
Maruti,Creta,2019,123688,84922,117280,156996,90165,101003,Presence
Kia,Harrier,2014,23714,12348,31158,149920,23585,30653,Presence
Mahindra,EcoSport,2015,14148,10292,20340,48665,42200,38408,Presence
